variavel_id,variavel_nome,unidade,data_referencia,ano,valor_financeiro
9808,PIB - valores correntes,Milhões de Reais,2012-01-01,2012,4814760.00
9808,PIB - valores correntes,Milhões de Reais,2013-01-01,2013,5331619.00
9808,PIB - valores correntes,Milhões de Reais,2014-01-01,2014,5778953.00
9808,PIB - valores correntes,Milhões de Reais,2015-01-01,2015,5995787.00
9808,PIB - valores correntes,Milhões de Reais,2016-01-01,2016,6269328.00
9808,PIB - valores correntes,Milhões de Reais,2017-01-01,2017,6592743.00
9808,PIB - valores correntes,Milhões de Reais,2018-01-01,2018,6996861.00
9808,PIB - valores correntes,Milhões de Reais,2019-01-01,2019,7394332.00
9808,PIB - valores correntes,Milhões de Reais,2020-01-01,2020,7609597.00
9808,PIB - valores correntes,Milhões de Reais,2021-01-01,2021,9012142.00
9809,PIB - preços do ano anterior,Milhões de Reais,2012-01-01,2012,4460460.00
9809,PIB - preços do ano anterior,Milhões de Reais,2013-01-01,2013,4959435.00
9809,PIB - preços do ano anterior,Milhões de Reais,2014-01-01,2014,5358488.00
9809,PIB - preços do ano anterior,Milhões de Reais,2015-01-01,2015,5574045.00
9809,PIB - preços do ano anterior,Milhões de Reais,2016-01-01,2016,5799370.00
9809,PIB - preços do ano anterior,Milhões de Reais,2017-01-01,2017,6349479.00
9809,PIB - preços do ano anterior,Milhões de Reais,2018-01-01,2018,6702942.00
9809,PIB - preços do ano anterior,Milhões de Reais,2019-01-01,2019,7086549.00
9809,PIB - preços do ano anterior,Milhões de Reais,2020-01-01,2020,7147007.00
9809,PIB - preços do ano anterior,Milhões de Reais,2021-01-01,2021,7972012.00
9812,PIB per capita - valores correntes,Reais,2012-01-01,2012,24357.44
9812,PIB per capita - valores correntes,Reais,2013-01-01,2013,26761.53
9812,PIB per capita - valores correntes,Reais,2014-01-01,2014,28778.07
9812,PIB per capita - valores correntes,Reais,2015-01-01,2015,29622.87
9812,PIB per capita - valores correntes,Reais,2016-01-01,2016,30751.29
9812,PIB per capita - valores correntes,Reais,2017-01-01,2017,32126.50
9812,PIB per capita - valores correntes,Reais,2018-01-01,2018,33878.35
9812,PIB per capita - valores correntes,Reais,2019-01-01,2019,35566.77
9812,PIB per capita - valores correntes,Reais,2020-01-01,2020,36380.83
9812,PIB per capita - valores correntes,Reais,2021-01-01,2021,42893.72
9813,PIB per capita - preços do ano anterior,Reais,2012-01-01,2012,22565.07
9813,PIB per capita - preços do ano anterior,Reais,2013-01-01,2013,24893.39
9813,PIB per capita - preços do ano anterior,Reais,2014-01-01,2014,26684.24
9813,PIB per capita - preços do ano anterior,Reais,2015-01-01,2015,27539.20
9813,PIB per capita - preços do ano anterior,Reais,2016-01-01,2016,28446.13
9813,PIB per capita - preços do ano anterior,Reais,2017-01-01,2017,30941.07
9813,PIB per capita - preços do ano anterior,Reais,2018-01-01,2018,32455.21
9813,PIB per capita - preços do ano anterior,Reais,2019-01-01,2019,34086.33
9813,PIB per capita - preços do ano anterior,Reais,2020-01-01,2020,34169.23
9813,PIB per capita - preços do ano anterior,Reais,2021-01-01,2021,37943.17
