variavel_id,variavel_nome,unidade,data_referencia,ano,populacao_mil_pessoas
93,População residente,Mil pessoas,2012-01-01,2012,197671
93,População residente,Mil pessoas,2013-01-01,2013,199227
93,População residente,Mil pessoas,2014-01-01,2014,200811
93,População residente,Mil pessoas,2015-01-01,2015,202404
93,População residente,Mil pessoas,2016-01-01,2016,203872
93,População residente,Mil pessoas,2017-01-01,2017,205212
93,População residente,Mil pessoas,2018-01-01,2018,206529
93,População residente,Mil pessoas,2019-01-01,2019,207900
93,População residente,Mil pessoas,2020-01-01,2020,209165
93,População residente,Mil pessoas,2021-01-01,2021,210104
