data_referencia,ano,uf_id,sexo_id,sexo,faixa_etaria_id,faixa_etaria,faixa_etaria_ordem,faixa_macro,populacao
2022-01-01,2022,11,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,113450
2022-01-01,2022,12,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,71001
2022-01-01,2022,13,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,351726
2022-01-01,2022,14,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,64752
2022-01-01,2022,15,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,632045
2022-01-01,2022,16,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,65666
2022-01-01,2022,17,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,114383
2022-01-01,2022,21,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,517099
2022-01-01,2022,22,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,216538
2022-01-01,2022,23,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,574335
2022-01-01,2022,24,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,204705
2022-01-01,2022,25,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,264885
2022-01-01,2022,26,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,593211
2022-01-01,2022,27,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,228824
2022-01-01,2022,28,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,148010
2022-01-01,2022,29,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,887805
2022-01-01,2022,31,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,1187024
2022-01-01,2022,32,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,240565
2022-01-01,2022,33,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,875769
2022-01-01,2022,35,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,2467570
2022-01-01,2022,41,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,698133
2022-01-01,2022,42,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,468406
2022-01-01,2022,43,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,609791
2022-01-01,2022,50,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,199203
2022-01-01,2022,51,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,281538
2022-01-01,2022,52,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,461578
2022-01-01,2022,53,6794,Total,93070,0 a 4 anos,0,0 a 14 anos,166848
2022-01-01,2022,11,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,117536
2022-01-01,2022,12,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,74586
2022-01-01,2022,13,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,367770
2022-01-01,2022,14,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,63243
2022-01-01,2022,15,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,669620
2022-01-01,2022,16,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,67164
2022-01-01,2022,17,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,117486
2022-01-01,2022,21,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,547083
2022-01-01,2022,22,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,226124
2022-01-01,2022,23,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,609895
2022-01-01,2022,24,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,220287
2022-01-01,2022,25,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,276601
2022-01-01,2022,26,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,645069
2022-01-01,2022,27,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,235921
2022-01-01,2022,28,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,156741
2022-01-01,2022,29,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,965550
2022-01-01,2022,31,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,1257588
2022-01-01,2022,32,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,254280
2022-01-01,2022,33,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,1015741
2022-01-01,2022,35,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,2775377
2022-01-01,2022,41,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,759916
2022-01-01,2022,42,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,489625
2022-01-01,2022,43,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,665885
2022-01-01,2022,50,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,208196
2022-01-01,2022,51,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,283473
2022-01-01,2022,52,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,494072
2022-01-01,2022,53,6794,Total,93084,5 a 9 anos,5,0 a 14 anos,184611
2022-01-01,2022,11,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,117166
2022-01-01,2022,12,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,75573
2022-01-01,2022,13,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,355930
2022-01-01,2022,14,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,58213
2022-01-01,2022,15,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,689277
2022-01-01,2022,16,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,65346
2022-01-01,2022,17,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,119117
2022-01-01,2022,21,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,581398
2022-01-01,2022,22,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,239272
2022-01-01,2022,23,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,618205
2022-01-01,2022,24,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,229666
2022-01-01,2022,25,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,285435
2022-01-01,2022,26,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,656399
2022-01-01,2022,27,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,246946
2022-01-01,2022,28,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,164750
2022-01-01,2022,29,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,1009716
2022-01-01,2022,31,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,1263307
2022-01-01,2022,32,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,246651
2022-01-01,2022,33,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,964636
2022-01-01,2022,35,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,2732216
2022-01-01,2022,41,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,737248
2022-01-01,2022,42,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,465179
2022-01-01,2022,43,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,630834
2022-01-01,2022,50,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,199393
2022-01-01,2022,51,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,264675
2022-01-01,2022,52,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,475639
2022-01-01,2022,53,6794,Total,93085,10 a 14 anos,10,0 a 14 anos,182774
2022-01-01,2022,11,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,122058
2022-01-01,2022,12,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,78689
2022-01-01,2022,13,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,367978
2022-01-01,2022,14,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,56875
2022-01-01,2022,15,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,726778
2022-01-01,2022,16,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,67628
2022-01-01,2022,17,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,125373
2022-01-01,2022,21,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,612914
2022-01-01,2022,22,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,257358
2022-01-01,2022,23,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,648812
2022-01-01,2022,24,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,243526
2022-01-01,2022,25,6794,Total,93086,15 a 19 anos,15,15 a 29 anos,296275
