data_referencia,ano,municipio_id,municipio_nome,uf_id,populacao
2012-01-01,2012,1100015,Alta Floresta D'Oeste,11,24069.0
2013-01-01,2013,1100015,Alta Floresta D'Oeste,11,25728.0
2014-01-01,2014,1100015,Alta Floresta D'Oeste,11,25652.0
2015-01-01,2015,1100015,Alta Floresta D'Oeste,11,25578.0
2016-01-01,2016,1100015,Alta Floresta D'Oeste,11,25506.0
2017-01-01,2017,1100015,Alta Floresta D'Oeste,11,25437.0
2018-01-01,2018,1100015,Alta Floresta D'Oeste,11,23167.0
2019-01-01,2019,1100015,Alta Floresta D'Oeste,11,22945.0
2020-01-01,2020,1100015,Alta Floresta D'Oeste,11,22728.0
2021-01-01,2021,1100015,Alta Floresta D'Oeste,11,22516.0
2012-01-01,2012,1100023,Ariquemes,11,92747.0
2013-01-01,2013,1100023,Ariquemes,11,101269.0
2014-01-01,2014,1100023,Ariquemes,11,102860.0
2015-01-01,2015,1100023,Ariquemes,11,104401.0
2016-01-01,2016,1100023,Ariquemes,11,105896.0
2017-01-01,2017,1100023,Ariquemes,11,107345.0
2018-01-01,2018,1100023,Ariquemes,11,106168.0
2019-01-01,2019,1100023,Ariquemes,11,107863.0
2020-01-01,2020,1100023,Ariquemes,11,109523.0
2021-01-01,2021,1100023,Ariquemes,11,111148.0
2012-01-01,2012,1100031,Cabixi,11,6132.0
2013-01-01,2013,1100031,Cabixi,11,6495.0
2014-01-01,2014,1100031,Cabixi,11,6424.0
2015-01-01,2015,1100031,Cabixi,11,6355.0
2016-01-01,2016,1100031,Cabixi,11,6289.0
2017-01-01,2017,1100031,Cabixi,11,6224.0
2018-01-01,2018,1100031,Cabixi,11,5438.0
2019-01-01,2019,1100031,Cabixi,11,5312.0
2020-01-01,2020,1100031,Cabixi,11,5188.0
2021-01-01,2021,1100031,Cabixi,11,5067.0
2012-01-01,2012,1100049,Cacoal,11,79330.0
2013-01-01,2013,1100049,Cacoal,11,85863.0
2014-01-01,2014,1100049,Cacoal,11,86556.0
2015-01-01,2015,1100049,Cacoal,11,87226.0
2016-01-01,2016,1100049,Cacoal,11,87877.0
2017-01-01,2017,1100049,Cacoal,11,88507.0
2018-01-01,2018,1100049,Cacoal,11,84813.0
2019-01-01,2019,1100049,Cacoal,11,85359.0
2020-01-01,2020,1100049,Cacoal,11,85893.0
2021-01-01,2021,1100049,Cacoal,11,86416.0
2012-01-01,2012,1100056,Cerejeiras,11,16852.0
2013-01-01,2013,1100056,Cerejeiras,11,18041.0
2014-01-01,2014,1100056,Cerejeiras,11,18013.0
2015-01-01,2015,1100056,Cerejeiras,11,17986.0
2016-01-01,2016,1100056,Cerejeiras,11,17959.0
2017-01-01,2017,1100056,Cerejeiras,11,17934.0
