data_referencia,ano,trimestre_num,trimestre,uf_id,taxa_desocupacao_pct,taxa_subutilizacao_pct
2021-10-01,2021,4,4º trimestre,33,14.2,22.4
2017-01-01,2017,1,1º trimestre,13,18.0,28.2
2023-07-01,2023,3,3º trimestre,12,6.2,16.8
2012-07-01,2012,3,3º trimestre,22,6.2,28.8
2021-10-01,2021,4,4º trimestre,22,11.9,42.8
2015-04-01,2015,2,2º trimestre,52,7.5,11.6
2025-07-01,2025,3,3º trimestre,23,6.4,18.5
2021-04-01,2021,2,2º trimestre,41,9.1,18.6
2022-01-01,2022,1,1º trimestre,27,14.2,38.4
2021-10-01,2021,4,4º trimestre,21,13.6,40.5
2014-01-01,2014,1,1º trimestre,17,8.6,19.8
2026-01-01,2026,1,1º trimestre,33,7.3,13.2
2025-01-01,2025,1,1º trimestre,50,4.0,9.8
2021-01-01,2021,1,1º trimestre,13,17.7,36.0
2024-10-01,2024,4,4º trimestre,17,5.1,16.9
2025-04-01,2025,2,2º trimestre,25,7.0,23.1
2021-10-01,2021,4,4º trimestre,53,12.1,24.0
2017-01-01,2017,1,1º trimestre,22,12.8,40.7
2025-01-01,2025,1,1º trimestre,43,5.3,10.3
2012-10-01,2012,4,4º trimestre,29,10.8,30.9
2018-04-01,2018,2,2º trimestre,33,15.5,20.0
2014-04-01,2014,2,2º trimestre,14,5.5,16.7
2015-07-01,2015,3,3º trimestre,42,4.4,7.3
2014-04-01,2014,2,2º trimestre,23,7.5,23.0
2024-04-01,2024,2,2º trimestre,24,9.2,21.8
2019-04-01,2019,2,2º trimestre,35,12.9,21.6
2020-10-01,2020,4,4º trimestre,12,15.7,36.2
2018-07-01,2018,3,3º trimestre,51,6.8,14.4
2023-10-01,2023,4,4º trimestre,13,8.8,17.6
2015-10-01,2015,4,4º trimestre,35,10.2,15.1
2020-01-01,2020,1,1º trimestre,27,16.8,38.3
2022-10-01,2022,4,4º trimestre,26,12.3,26.9
2014-04-01,2014,2,2º trimestre,21,7.3,22.0
2018-04-01,2018,2,2º trimestre,27,17.7,37.8
2014-01-01,2014,1,1º trimestre,42,3.1,5.5
2022-07-01,2022,3,3º trimestre,25,10.9,29.1
2012-01-01,2012,1,1º trimestre,35,7.8,16.6
2022-04-01,2022,2,2º trimestre,22,9.4,42.3
2018-07-01,2018,3,3º trimestre,23,10.7,30.0
2024-01-01,2024,1,1º trimestre,26,12.4,27.3
2015-01-01,2015,1,1º trimestre,50,6.3,14.6
2021-10-01,2021,4,4º trimestre,29,17.3,39.1
2026-01-01,2026,1,1º trimestre,52,5.1,9.1
2012-10-01,2012,4,4º trimestre,23,7.5,25.9
2016-01-01,2016,1,1º trimestre,35,12.2,17.7
2012-04-01,2012,2,2º trimestre,53,8.5,14.8
2019-07-01,2019,3,3º trimestre,33,14.6,20.8
2024-07-01,2024,3,3º trimestre,31,5.0,12.5
2019-10-01,2019,4,4º trimestre,50,6.7,16.3
2021-04-01,2021,2,2º trimestre,28,19.5,44.3
2014-07-01,2014,3,3º trimestre,53,8.9,14.6
2013-04-01,2013,2,2º trimestre,17,8.2,21.8
2017-04-01,2017,2,2º trimestre,42,7.5,10.7
2015-04-01,2015,2,2º trimestre,16,10.3,22.1
2020-10-01,2020,4,4º trimestre,29,20.6,45.3
2025-10-01,2025,4,4º trimestre,29,8.0,25.4
2020-10-01,2020,4,4º trimestre,52,12.8,21.0
2013-04-01,2013,2,2º trimestre,33,7.0,10.6
2013-07-01,2013,3,3º trimestre,50,4.4,11.8
2012-01-01,2012,1,1º trimestre,21,7.9,27.1
2020-07-01,2020,3,3º trimestre,41,10.5,21.0
2012-04-01,2012,2,2º trimestre,28,10.9,29.8
2019-07-01,2019,3,3º trimestre,15,11.3,26.9
2018-10-01,2018,4,4º trimestre,53,12.1,22.2
2022-07-01,2022,3,3º trimestre,53,11.0,21.0
2024-10-01,2024,4,4º trimestre,28,8.4,25.9
2018-10-01,2018,4,4º trimestre,23,10.2,29.6
2017-04-01,2017,2,2º trimestre,31,12.2,23.1
2023-07-01,2023,3,3º trimestre,22,9.9,38.4
2022-10-01,2022,4,4º trimestre,35,7.7,15.4
2020-07-01,2020,3,3º trimestre,42,6.7,12.7
2021-07-01,2021,3,3º trimestre,35,13.4,24.0
2015-07-01,2015,3,3º trimestre,51,6.7,11.6
2023-04-01,2023,2,2º trimestre,17,6.5,18.6
2012-10-01,2012,4,4º trimestre,28,9.7,28.0
2015-07-01,2015,3,3º trimestre,27,10.9,24.5
2024-10-01,2024,4,4º trimestre,24,8.7,20.4
2016-07-01,2016,3,3º trimestre,22,9.6,32.9
2014-04-01,2014,2,2º trimestre,42,2.8,5.2
2019-04-01,2019,2,2º trimestre,29,17.5,40.3
2019-04-01,2019,2,2º trimestre,32,11.0,18.7
2022-04-01,2022,2,2º trimestre,24,12.0,31.1
2022-04-01,2022,2,2º trimestre,41,6.1,13.7
2014-10-01,2014,4,4º trimestre,21,7.2,22.1
2019-07-01,2019,3,3º trimestre,14,15.0,29.6
2018-07-01,2018,3,3º trimestre,50,7.3,16.8
2020-01-01,2020,1,1º trimestre,16,17.4,30.7
2012-07-01,2012,3,3º trimestre,27,11.6,23.6
2024-07-01,2024,3,3º trimestre,29,9.7,29.0
2013-01-01,2013,1,1º trimestre,12,10.9,23.3
2015-07-01,2015,3,3º trimestre,33,8.3,10.9
2016-10-01,2016,4,4º trimestre,31,11.2,21.9
2013-10-01,2013,4,4º trimestre,13,7.7,14.4
2024-07-01,2024,3,3º trimestre,24,8.9,21.5
2015-01-01,2015,1,1º trimestre,23,8.1,22.7
2022-07-01,2022,3,3º trimestre,31,6.3,15.9
2022-07-01,2022,3,3º trimestre,42,3.8,6.9
2012-10-01,2012,4,4º trimestre,26,9.2,21.8
2021-07-01,2021,3,3º trimestre,14,10.6,25.3
2018-01-01,2018,1,1º trimestre,32,12.7,20.2
2013-01-01,2013,1,1º trimestre,32,7.8,13.1
2017-04-01,2017,2,2º trimestre,41,8.9,15.8
2014-04-01,2014,2,2º trimestre,52,5.4,9.5
2014-07-01,2014,3,3º trimestre,52,5.2,9.5
2019-10-01,2019,4,4º trimestre,25,12.2,33.8
2023-07-01,2023,3,3º trimestre,23,9.2,24.7
2014-07-01,2014,3,3º trimestre,12,7.0,15.2
2022-04-01,2022,2,2º trimestre,21,10.8,34.2
2021-04-01,2021,2,2º trimestre,21,17.8,46.6
2018-10-01,2018,4,4º trimestre,35,12.6,20.5
2020-10-01,2020,4,4º trimestre,21,14.8,45.1
2025-04-01,2025,2,2º trimestre,26,10.4,25.1
2025-10-01,2025,4,4º trimestre,51,2.4,6.1
2014-04-01,2014,2,2º trimestre,50,3.9,11.0
2015-07-01,2015,3,3º trimestre,41,6.2,11.9
2013-01-01,2013,1,1º trimestre,25,9.6,34.2
2014-07-01,2014,3,3º trimestre,42,3.0,5.2
2023-01-01,2023,1,1º trimestre,16,12.2,22.1
2026-01-01,2026,1,1º trimestre,42,2.7,4.7
2019-10-01,2019,4,4º trimestre,41,7.4,15.9
2021-04-01,2021,2,2º trimestre,13,15.8,33.0
2023-07-01,2023,3,3º trimestre,21,6.8,27.0
2024-01-01,2024,1,1º trimestre,25,9.9,26.1
2018-10-01,2018,4,4º trimestre,28,15.2,36.6
2016-07-01,2016,3,3º trimestre,53,12.1,18.2
2020-10-01,2020,4,4º trimestre,32,13.5,23.4
2024-10-01,2024,4,4º trimestre,14,6.6,16.7
2012-10-01,2012,4,4º trimestre,42,2.7,6.2
2024-07-01,2024,3,3º trimestre,51,2.3,7.6
2023-07-01,2023,3,3º trimestre,52,6.0,12.1
2023-10-01,2023,4,4º trimestre,50,4.1,9.2
2012-04-01,2012,2,2º trimestre,11,6.3,16.5
2016-07-01,2016,3,3º trimestre,14,9.9,20.1
2024-10-01,2024,4,4º trimestre,29,10.0,29.2
2015-07-01,2015,3,3º trimestre,25,10.5,30.5
2017-01-01,2017,1,1º trimestre,32,14.7,20.6
2026-01-01,2026,1,1º trimestre,50,3.8,8.0
2025-04-01,2025,2,2º trimestre,29,9.1,27.0
2015-01-01,2015,1,1º trimestre,43,5.8,12.1
2022-10-01,2022,4,4º trimestre,42,3.3,6.0
2015-01-01,2015,1,1º trimestre,29,11.4,30.0
2024-01-01,2024,1,1º trimestre,51,3.8,10.3
2026-01-01,2026,1,1º trimestre,26,9.2,22.2
2014-07-01,2014,3,3º trimestre,21,6.8,20.4
2019-04-01,2019,2,2º trimestre,42,6.1,10.8
2013-01-01,2013,1,1º trimestre,16,11.5,19.3
2025-04-01,2025,2,2º trimestre,50,2.9,8.1
2016-07-01,2016,3,3º trimestre,13,13.8,24.5
2013-04-01,2013,2,2º trimestre,25,9.0,33.2
2024-04-01,2024,2,2º trimestre,29,11.0,29.8
2015-10-01,2015,4,4º trimestre,16,13.0,19.1
2012-01-01,2012,1,1º trimestre,22,7.7,35.2
2019-10-01,2019,4,4º trimestre,17,9.3,26.1
2018-04-01,2018,2,2º trimestre,42,6.6,10.9
2023-04-01,2023,2,2º trimestre,22,9.7,39.6
2018-01-01,2018,1,1º trimestre,35,14.1,21.1
2013-10-01,2013,4,4º trimestre,41,3.8,9.1
2013-07-01,2013,3,3º trimestre,53,8.9,16.4
2017-01-01,2017,1,1º trimestre,52,12.8,19.2
2015-01-01,2015,1,1º trimestre,22,7.9,32.7
2018-01-01,2018,1,1º trimestre,15,12.2,32.8
2020-01-01,2020,1,1º trimestre,29,18.9,40.4
2024-10-01,2024,4,4º trimestre,27,8.1,26.4
2023-04-01,2023,2,2º trimestre,13,9.7,20.2
2018-10-01,2018,4,4º trimestre,22,12.4,41.7
2018-01-01,2018,1,1º trimestre,29,18.1,40.8
2014-01-01,2014,1,1º trimestre,22,7.1,33.5
2017-10-01,2017,4,4º trimestre,23,11.2,29.6
2023-01-01,2023,1,1º trimestre,32,7.0,13.9
2025-01-01,2025,1,1º trimestre,52,5.3,10.6
2023-04-01,2023,2,2º trimestre,31,5.8,13.6
2024-01-01,2024,1,1º trimestre,17,6.1,18.4
2024-07-01,2024,3,3º trimestre,25,7.8,22.4
2014-07-01,2014,3,3º trimestre,24,10.7,26.1
2021-07-01,2021,3,3º trimestre,16,17.4,28.5
2017-04-01,2017,2,2º trimestre,29,17.6,38.0
2014-07-01,2014,3,3º trimestre,23,7.5,22.6
2021-07-01,2021,3,3º trimestre,28,17.2,42.2
2015-01-01,2015,1,1º trimestre,13,9.5,16.4
2016-01-01,2016,1,1º trimestre,11,7.6,12.5
2014-01-01,2014,1,1º trimestre,41,4.2,9.2
2022-07-01,2022,3,3º trimestre,12,10.0,22.2
2012-10-01,2012,4,4º trimestre,31,6.3,15.9
2020-04-01,2020,2,2º trimestre,52,13.1,24.7
2023-04-01,2023,2,2º trimestre,26,14.2,27.1
2015-10-01,2015,4,4º trimestre,23,9.1,23.4
2016-01-01,2016,1,1º trimestre,14,8.4,16.6
2021-10-01,2021,4,4º trimestre,16,17.4,25.8
2020-01-01,2020,1,1º trimestre,17,11.5,26.2
2014-10-01,2014,4,4º trimestre,35,7.2,11.9
2022-01-01,2022,1,1º trimestre,25,14.3,33.2
2019-07-01,2019,3,3º trimestre,31,10.0,22.4
2025-04-01,2025,2,2º trimestre,51,2.8,6.8
2025-10-01,2025,4,4º trimestre,21,5.6,22.8
2017-10-01,2017,4,4º trimestre,41,8.3,15.9
2022-01-01,2022,1,1º trimestre,23,11.1,31.0
2024-01-01,2024,1,1º trimestre,24,9.8,24.2
2017-10-01,2017,4,4º trimestre,53,13.4,19.8
2023-04-01,2023,2,2º trimestre,14,5.1,12.5
2024-04-01,2024,2,2º trimestre,28,9.2,25.4
2023-04-01,2023,2,2º trimestre,32,6.4,12.4
2019-10-01,2019,4,4º trimestre,12,13.8,32.0
2016-01-01,2016,1,1º trimestre,15,10.1,24.2
2022-01-01,2022,1,1º trimestre,17,9.3,23.1
2018-04-01,2018,2,2º trimestre,53,12.3,21.7
2012-01-01,2012,1,1º trimestre,16,12.6,27.9
2021-01-01,2021,1,1º trimestre,23,15.1,39.2
2020-07-01,2020,3,3º trimestre,23,14.2,39.1
2013-07-01,2013,3,3º trimestre,28,10.1,29.4
2017-07-01,2017,3,3º trimestre,53,12.3,19.7
2014-07-01,2014,3,3º trimestre,11,4.2,9.1
2012-04-01,2012,2,2º trimestre,21,9.3,24.5
2019-01-01,2019,1,1º trimestre,28,15.6,36.3
2025-10-01,2025,4,4º trimestre,15,5.8,18.7
2019-04-01,2019,2,2º trimestre,22,13.0,43.6
2014-10-01,2014,4,4º trimestre,50,3.9,11.7
2013-10-01,2013,4,4º trimestre,33,6.2,9.2
2021-07-01,2021,3,3º trimestre,22,12.0,42.6
2023-01-01,2023,1,1º trimestre,41,5.4,12.0
2016-04-01,2016,2,2º trimestre,21,12.1,31.1
2024-01-01,2024,1,1º trimestre,42,3.9,7.0
2015-04-01,2015,2,2º trimestre,29,12.8,31.0
2022-07-01,2022,3,3º trimestre,32,7.3,15.5
2012-07-01,2012,3,3º trimestre,25,8.6,30.5
2023-10-01,2023,4,4º trimestre,31,5.7,13.7
2021-07-01,2021,3,3º trimestre,50,7.7,18.0
2018-01-01,2018,1,1º trimestre,13,14.0,26.8
2023-01-01,2023,1,1º trimestre,11,3.1,6.7
2020-07-01,2020,3,3º trimestre,11,11.7,22.2
2016-07-01,2016,3,3º trimestre,32,12.9,18.1
2024-10-01,2024,4,4º trimestre,51,2.5,7.0
2012-07-01,2012,3,3º trimestre,42,3.2,7.1
2024-07-01,2024,3,3º trimestre,32,4.1,8.4
2013-07-01,2013,3,3º trimestre,31,6.3,15.1
2018-07-01,2018,3,3º trimestre,52,9.0,16.8
2016-07-01,2016,3,3º trimestre,17,10.8,19.0
2025-07-01,2025,3,3º trimestre,43,4.1,8.6
2022-01-01,2022,1,1º trimestre,24,14.2,33.2
2017-04-01,2017,2,2º trimestre,24,15.8,33.6
2025-04-01,2025,2,2º trimestre,41,3.8,10.0
2021-10-01,2021,4,4º trimestre,25,13.0,36.0
2023-01-01,2023,1,1º trimestre,24,12.3,29.7
2013-04-01,2013,2,2º trimestre,53,9.2,16.0
2024-10-01,2024,4,4º trimestre,31,4.3,12.1
2016-10-01,2016,4,4º trimestre,42,6.2,9.5
2021-01-01,2021,1,1º trimestre,43,9.5,18.9
2016-10-01,2016,4,4º trimestre,33,13.6,16.5
2023-07-01,2023,3,3º trimestre,53,8.9,16.2
2013-07-01,2013,3,3º trimestre,25,8.6,32.9
2022-04-01,2022,2,2º trimestre,11,5.7,11.2
2015-07-01,2015,3,3º trimestre,17,9.3,20.0
2014-01-01,2014,1,1º trimestre,16,11.4,19.6
2017-07-01,2017,3,3º trimestre,23,11.9,31.2
2016-04-01,2016,2,2º trimestre,43,8.9,15.6
